Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Treatment]	Term Source REF	Term Accession Number
QC-1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				pooled quality control sample			Sample collection	QC-1			
QC-2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				pooled quality control sample			Sample collection	QC-2			
QC-3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				pooled quality control sample			Sample collection	QC-3			
QC-4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				pooled quality control sample			Sample collection	QC-4			
CTR-1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CTR-1	high glucose DMEM		
CTR-2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CTR-2	high glucose DMEM		
CTR-3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CTR-3	high glucose DMEM		
CTR-4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CTR-4	high glucose DMEM		
CTR-5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CTR-5	high glucose DMEM		
G(-)-1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	HSC-3 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002025				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	G(-)-1	glucose-free DMEM		
